ID,Title , Author,Type, Print,Online,Volume,Issue
1,Stonehenge as an Astronomical Instrument ,1,Article ,1927,2015,1,1
2,Stonehenge Avenue ,1,Article ,1927,2015,1,3
3,Stonehenge,1,Article ,1929,2015,3,9
4,Stonehenge ,0,Notes and News,1929,2015,3,10
5,Woodbury. Two Marvelous Air-Photographs,1,Article ,1929,2015,3,12
6,"Stonehenge, Today and Yesterday",1,Book Review,1930,2015,4,16
7,Air-Photography in Northern Ireland,1,Article ,1930,2015,4,16
8,The Uffington White Horse,1,Article ,1931,2015,5,17
9,"A Potsherd from the Stonehenge Ditch (Plate V11, A)",1,Notes and News,1936,2015,10,38
10,The Sources of Geoffrey of Monmouth: The Stonehenge Story,1,Article ,1941,2015,15,60
11,The Symbols carved on Stonehenge,1,Article ,1954,2015,28,109
12,Recent work at Stonehenge,1,Notes and News,1954,2015,28,112
13,The Dorset Cursus,1,Article ,1955,2015,29,113
14,Stonehenge: A Review ,2,Review,1956,2015,30,119
15,Stonehenge Restored,0,Notes and News,1959,2015,33,129
16,Stonehenge: A Suggestion,1,Review,1961,2015,35,139
17,Neolithic Engineering and Stonehenge,2,Review,1962,2015,36,142
18,Moonshine on Stonehenge,1,Article ,1966,2015,40,159
19,Speculations on Stonehenge,1,Article ,1966,2015,40,160
20,Further Radiocarbon Dates for Stonehenge,1,Notes and News,1967,2015,41,161
21,Hoyle on Stonehenge: Some Comments,6,Review,1967,2015,41,162
22,God in the Machine ,1,Article ,1967,2015,41,163
23,Durrington Walls: a Ceremonial Enclosure of the 2nd Millenium BC,1,Article ,1968,2015,42,165
24,Two incised chalk plaques near Stonehenge bottom,1,Notes and News,1969,2015,43,172
25,Stonehenge at Midsummer,1,Notes and News,1970,2015,44,176
26,Megalithic lunar observatories: as astronomers view,1,Article ,1972,2015,46,181
27,C.A. Newham: The astronomical significance of Stonehenge,1,Book Review,1972,2015,46,184
28,Fred Hoyle: From Stonehenge to modern cosmology,1,Book Review,1973,2015,47,188
29,C.A Newham and Stonehenge,1,Review,1974,2015,48,191
30,The Station Stones at Stonehenge,1,Notes and News,1976,2015,50,198
31,"Quanterness, radiocarbon and the Orkney cairns",3,Article ,1976,2016,50,199/200
32,Radiocarbon dates for the Stonehenge Avenue,3,Notes and News,1976,2016,50,199/200
33,Recent Excavations at Stonehenge,2,Notes and News,1978,2015,52,206
34,Lucas de Heere's Stonehenge,1,Article ,1979,2015,53,208
35,Hoyle on Stonehenge,1,Article ,1979,2015,53,208
36,Moving the stones to Stonehenge,1,Article ,1979,2015,53,209
37,Stonehenge as an eclipse predictor: a comment,1,Notes and News,1980,2015,54,210
38,Raising the lintels at Stonehenge,1,Review,1980,2015,54,211
39,Royal Commission on Historial Monuments (England): Stonehenge and it's environs: monuments and land use,1,Book Review,1980,2015,54,211
